session_id,GENERAL / Type,CAMP / camp_id,TIME DATA / start_time,TIME DATA / end_time,ASSESS / goals,ASSESS / highlighted,ASSESS / best,ASSESS / To Work,ASSESS / assessment_boolean,GENERAL / Results,ASSESS / Standard move,audionotes,ASSESS / Wind Pattern
yo6mh2mmR6iVpu7G9OoHZQ,Training,UYFqMEVbRKONkz4G7Rpssg,"5/2/2025, 3:00:00 p. m.","5/2/2025, 5:00:00 p. m.",Splash day. Build comms and mentality in the waves ,true,Moments upwind of the right VMG ,Second upwind tacking inside the breakwater. ,true,,,,
FcTZQnrkSYC-2.6NjDqfOg,Training,UYFqMEVbRKONkz4G7Rpssg,"6/2/2025, 10:40:00 a. m.","6/2/2025, 2:15:00 p. m.","1) Continue to build mentality together on a tough SM day due to light wind and waves.  
2) Both focused and testing angle UW/DW 
3) Test drive>bodies/trim 
4) Main trimming 101, clear jib plan
5) Clear kite comms linked with action ",,,,false,,,,
wLKXzjYFRoOb.GYaqmAUtA,Training,UYFqMEVbRKONkz4G7Rpssg,"8/2/2025, 10:35:00 a. m.","8/2/2025, 12:35:00 p. m.",Windy handling and raise the roof. ,true,UW moding r3 and r4,"Bottom mark laylines/execution on drop? 
Prediction lift or headers to anticipate with driving",true,,,,
21s2mOZNQIGvljKMV126SA,Training,UYFqMEVbRKONkz4G7Rpssg,"7/2/2025, 9:30:00 a. m.","7/2/2025, 11:30:00 a. m.",Light air wavy speed,,,,,,,,
orRJrCaqTwKhGpeaWxlrbw,Training,UYFqMEVbRKONkz4G7Rpssg,"7/2/2025, 2:21:00 p. m.","7/2/2025, 4:21:00 p. m.",figure 8’s and racing with focus on pin bias situations to corner left.  ,,,"Keep working the crunching mode with happy leach. (5% less vang in the pressure so leach is ok in the d-acceleration
Work the jib when we are in the transition from speed to developing",,,,,
TvDFuB5VQquDIUTjI1vc5Q,Training,UYFqMEVbRKONkz4G7Rpssg,"9/2/2025, 12:01:00 p. m.","9/2/2025, 2:21:00 p. m.",Light air and wavy straight line technique ,,"-keep on working the acceleration around the course by using more the handle to get the boat into acceleration
",DW ian can get unhooked and sit when we loose the pressure to make the kite fly and be better prepare for the next acceleration,,,,,
wWHS4UZsSNaAJfSXpWeAsA,Training,UYFqMEVbRKONkz4G7Rpssg,"13/2/2025, 1:10:00 p. m.","13/2/2025, 2:20:00 p. m.",Splash and learn wavy open main straight line ,,,,,,,,
vsJ79VXsT0iN3qqMUEafCw,Training,UYFqMEVbRKONkz4G7Rpssg,"17/2/2025, 11:00:00 a. m.","17/2/2025, 1:40:00 p. m.",Flow,,"UW DW speed straight line
",,,,,,
Bd19.0QgSV2JUJV41Mdelw,Training,UYFqMEVbRKONkz4G7Rpssg,"16/2/2025, 10:40:00 a. m.","16/2/2025, 1:00:00 p. m.",,,,,,,,,
urMaNisySoylet-781EWaQ,Training,UYFqMEVbRKONkz4G7Rpssg,"16/2/2025, 3:00:00 p. m.","16/2/2025, 4:00:00 p. m.",,,,,,,,,
a.ks1eLM0QEyzKPsrMO4gBg,Training,UYFqMEVbRKONkz4G7Rpssg,"15/2/2025, 12:10:00 p. m.","15/2/2025, 3:30:00 p. m.",,,,,,,,,
PJfrmWCQR.qhCcy37IS5Ug,Training,5xqh.QsETT-DrkjYC8Psmw,"7/3/2025, 11:22:00 a. m.","7/3/2025, 1:00:00 p. m.",Splash and sail with URU if possible,,"High line accelerations
3 sculls and pump
Nev twist to change hands and wrap the trap to take it forward and have it allready to pump
Ian stays low and moves forward at 2nd skull allways look forward to help Nev with the heel

DW
We sail for the best kite feel (50/60%) we work the line 
Ian communicates when he is about to trim on so Nev moves in instead of coming up with the rudder
",Acceleration excecution,,,,,
oO69dOpnStOD1meo63NGsw,Training,5xqh.QsETT-DrkjYC8Psmw,"8/3/2025, 7:30:00 a. m.","8/3/2025, 11:00:00 a. m.",Figuring out starts in a fleet. Straight line speed.,,,"Communicating the other boats what we know the can do to conditionate them
No room to doble tack”, if you tack we bail”
Build up the respect from showing others that we know their options

SPEED UW
Ian can hike harder! Stand in his toes
When we see that tricky is coming, separate a bit the stance and lean slightly forward

Switch between head out/ high in the trap, and we know the whole situation now we ripp (full trap and hike hard)
",,,,,
TgPVjdFFTWmEMf1sGmOq.A,Training,5xqh.QsETT-DrkjYC8Psmw,"9/3/2025, 10:11:00 a. m.","9/3/2025, 1:15:00 p. m.",,,,,,,,,
Hdhx2uMYSbqXkDNpn1LzcA,Training,5xqh.QsETT-DrkjYC8Psmw,"10/3/2025, 9:02:00 a. m.","10/3/2025, 12:40:00 p. m.",,true,"Interaction!
Ask each other to find answers

UW double trap crunching to single trap, ian has to leave Nev more preassure to move around more free. Loose trap and sit down quick. YOUR BOAT!","When we tack on the last third of the leg and we let boats cross behind us, allways have an eye on them
If we see the are progressing, defend! 
Don’t let them be strong to then tack

See how the wind fills through the course
Take time to analyse it

-KILL IT! Don’t let people survive while we have the chance of finish with them.

-in double trap condition, once the boat gets the flow and we are with power and well hiked, DON’T TOUCH anything and live as longer as we can in that flow
Before we feel is about to loose it, use the jib as an exit to keep flow and speed

-Nev movements on transition to less pressure is in and forward

-we try to stay together as a block moving all ways

-don’t be to separate from each other fwd and aft",,,,,
jBsUyYoQTw-jyUa2b5hqBw,Training,5xqh.QsETT-DrkjYC8Psmw,"11/3/2025, 8:59:00 a. m.","11/3/2025, 12:00:00 p. m.",Interaction and involvement ,true,"We can say fack! To let go, but after, we wait I’m back let’s go!
-when we are in the octopus, the priority is to think wich way we will pick a line to be able to sail our boat fast out of traffic

-be ACTIVE! Move around, test the set up, watch the compass/ phase. Check technique for off the line

How wind is moving over the course?
Wich side of the start is favored and wich corridor has more pressure to start with

Know period of phases and have clear when we start how long will it take to start shifting back again (to see where we position with to fleet to be ready to tack if needed)

Lines to develop speed and performance to make the difference



","Not taking personal bad coments, use them to let go 
We let the other one expres himself to be ready to keep fighting

",,,,,
Nx-kG7gHTBOg03p125i7oQ,Training,5xqh.QsETT-DrkjYC8Psmw,"12/3/2025, 8:13:00 a. m.","12/3/2025, 11:00:00 a. m.",,,"Attitude along the day
We are getting were we want to be as competitors

-Andrew starting proces. On boat length above the committee but 3/4 down to start 120% fast.
Is very important the angle, has to be blown down but not reach!

-anticipate the lulls in the DW when we are at the straps to move forward before the bow goes up

","Get connected to the jib set up PERFECT, and the  work the trim from there

-when is a set up day, or when is working the technique / modes to make the boat go

-on swell, check wich side of the gates will be a faster rotation to remind as a early drop so we are prepare for the UW

-a bit higher in the trap in sweel (FRA pic) so we can manage better the main and let the boat allways with momentum forward. We don’t look for preassure on the main, we look for flow underneath

-NEV is good to be high in the trap to see the wind, but when is performance we go a click down to match ian


",,,,,
vGPfSAr8SDeVJ0qT6AKYqA,Training,5xqh.QsETT-DrkjYC8Psmw,"13/3/2025, 8:00:00 a. m.","13/3/2025, 9:30:00 a. m.",,,,"Boat heel and perch depending how we are at the line with others
ANTICIPATE the movements so we can maintain the flow. (Sometimes we are risking by waiting to long to start moving)
We are happy by buying the 90% of a good momentum. So we start preparing the boat for the next transition smoothly

-more dinámico interaction between us 3 from what we are feeling and ideas to correct. Either from tuning or technique

",,,,,
7D5gYRkGQICZ5WCTi64kkA,Regatta,PM7iWod1Rpu15GYnKI8g8w,"15/3/2025, 10:53:00 a. m.","15/3/2025, 2:05:00 p. m.",Are allready in the goals,,"Pro active
Good inter action to define set up and race plan

DW plan and speed","-Eyes out of the boat when we see things changing or when we are back in the fleet

-acceleration excecution


",,,,,
1.9ZJIzzRN-MFI-vtsJO3A,Regatta,PM7iWod1Rpu15GYnKI8g8w,"16/3/2025, 8:45:00 a. m.","16/3/2025, 11:45:00 a. m.",Racing,true,"Interaction before racing and moving the boat around to have perfect feel to put the set up

The lanes we picked to be able to develop speed

-going deep in lay lines to come in strong at the finish

-UW and DW speed
","-accelerations and first meters off the gate.
Less controls, leech in the hand and working the boat with bodies

-pre start execution

-gybing. Poping battens in the middle when we come in fast

-move in and forward in polish mode DW (Ian in the corner of the wind and nevin out when we feel the preassure

",,,,,
aFRDHCNKQjSIV1ngt0nlMA,Training,PM7iWod1Rpu15GYnKI8g8w,"17/3/2025, 7:10:00 a. m.","17/3/2025, 9:15:00 a. m.",Flow in the boat after accelerations and manouvers in general,,"-Nev’s pump got way better. We are starting to have more feel on the hand that hits to know how much preassure we can put on it

-when we both use our body to hit and when Ian’s it’s just dead weight


","-coordination to put the bow down and go. What we want and how to achieve it

-tacks:
If the turn and excecution is great, after first nev’s pump, ian has to know that nev’s doesn’t need much help to make the second pump.
If we heel to much, we loose the flow we create on the first one",,,,,
