daily_metrics_id,session_id,user_id,created_time,venue,TWD,TWS New (Deprecated),TWS New V3,TWS-,TWS+,sea_state,type_of_day,primaries,lowers,caps,board,bridle,outhaul,track,clew,tack_height,course_area,free_notes,conditions,current,vang,cunningham
NOTZJgfJQvmFY4-Cul4EiQ,yo6mh2mmR6iVpu7G9OoHZQ,vlTNteyCRm6-hOs.YN5HeQ,"5/2/2025, 7:07:12 p. m.",MDQ,E,DP 13-18,DP 12-18,14,18,swell,"Keep it simple (wave day, offset left) ",20,-3.5,-0.5,"1,3",4,2,4,middle,"2,3",,,,,,
yHrQKsVQQ7q2otJeJMDuJA,FcTZQnrkSYC-2.6NjDqfOg,vlTNteyCRm6-hOs.YN5HeQ,"6/2/2025, 8:51:54 p. m.",MDQ,NW,"DT 4-8,FP 9-12","DT 5-8,FP 9-11",4,9,swell,"Wave day, keep it simple ",0,-0.5,0,0,3,1,3,top,6,,,,,,
DIE7kjGVQVG6m8tceKmzLw,wLKXzjYFRoOb.GYaqmAUtA,vlTNteyCRm6-hOs.YN5HeQ,"8/2/2025, 6:51:54 p. m.",MDQ,"SW,W,NW","DP 13-18,S +23","DP 12-18, S 24+",16,24,flat,Unstable/high frequency shifts ,24,-3.5,0.5,"2,4",4,1,"4,5",middle,5,Inner,Would the sail have been able to take more vang? Check the photos/video. Able to make up and straight lines. ,,,,
9qga83p8SBGQCZm5f0OY7w,TvDFuB5VQquDIUTjI1vc5Q,vlTNteyCRm6-hOs.YN5HeQ,"9/2/2025, 3:46:53 p. m.",MDQ,SW,DT 4-8,DT 5-8,5,8,swell,Light offshore day with swell from the SW. waves skew right.  ,0,"-0.5,0",0,0,2,"1,2",3,top,"6,7",South ,"Swell skew right. This creates a permanent fast/slow upwind and DW. 

To do’s: note when the boat gets slow and how to re-hook up",,,,
mzEEXp3qRJ2It4Z7N7LWhA,wWHS4UZsSNaAJfSXpWeAsA,vlTNteyCRm6-hOs.YN5HeQ,"13/2/2025, 5:40:26 p. m.",MDQ,S,"FP 9-12,DP 13-18","FP 9-11,DP 12-18",12,15,swell,Steady ocean day,"10,15",-3,-0.5,"0,1",4,1,4,"middle,top",6,,"2 needs, effectively keep flow over the foils and find height when possible. ",,,,
An8lggVjTA2EzuQFSndocQ,vsJ79VXsT0iN3qqMUEafCw,vlTNteyCRm6-hOs.YN5HeQ,"17/2/2025, 6:47:48 p. m.",MDQ,S,"DP 13-18,S +23","DP 12-18, S 24+",15,24,swell,Keep it simple ,20,"-4,-3","0,0.5","1,3",4,2,4,middle,4,Outside south ,"Didn’t play with caps so I can really see the lowers. Trying to isolate the variables currently.  
SM, should be quicker with the fore aft on the fast/slow. ",,,,
kRBbVpRYSB6YUJybvPxCtw,Bd19.0QgSV2JUJV41Mdelw,vlTNteyCRm6-hOs.YN5HeQ,"17/2/2025, 6:54:15 p. m.",MDQ,NW,"DT 4-8,DP 13-18","DT 5-8,DP 12-18",8,16,swell,"Dirty, 45* left shore","4,10","-1,1",0,0,3,1,"3,4",top,,,Incomplete course pressure.  Tricky track to solve.  ,,,,
zEq-QLN1RcO3isn2mnpKQQ,j.Rir4KcRZa26uXJXoKkag,aIrXJYDxSY-34QA0BF9AwA,"5/3/2025, 4:14:33 p. m.",BUE,"N,NE","ST 0-3,DT 4-8","ST 0-4,DT 5-8",,,flat,,,,,,,,4,top,"7,9",Right,A free note on a wednesday,,,,
obDvKdFdSWyhXVLrDyqCVg,PJfrmWCQR.qhCcy37IS5Ug,vlTNteyCRm6-hOs.YN5HeQ,"8/3/2025, 4:45:56 a. m.",Palma ,"E,SE","ST 0-3,DT 4-8","ST 0-4,DT 5-8",,,flat,"Light and shifty, stormy ",0,"-4,0",0,0,0,0,3,top,,Medal Race,"First day for 125 main. Happy with where the luff wrinkles are and the depth. 
Spinnaker halyard needs to be checked, a vang scale needs to be added to the boat and acetone needs to be applied to clean off goop. ",,,,
AGgP4mEdRDGNvWVxzCqemw,oO69dOpnStOD1meo63NGsw,vlTNteyCRm6-hOs.YN5HeQ,"8/3/2025, 5:42:09 p. m.",Palma ,"SE,S","FP 9-12,DP 13-18","FP 9-11,DP 12-18",,,flat,Unstable,"3,9,12","-3,-1,0","-1,-0.5,0","0,1",3,1,"3,4","middle,top",,2,"(Both) Working on developing sensation and vision for the jib chart. 
Clew:tack crossover?
Developing easy boat with most depowered settings once the day was 11-15",,,,
